L,accuracy,accuracy_se,k_star,mean_tas,tas_se
3,0.6705426356589147,0.029318803770998172,2.865546218487395,0.5915329933127578,0.005023598771983384
4,0.7008196721311475,0.020749382578337566,3.722689075630252,0.5107995218899658,0.005663502141098898
5,0.6724137931034483,0.019504814690480588,4.533333333333333,0.44657887953573216,0.005694028570609906
6,0.6785046728971963,0.020211247737821635,5.558333333333334,0.3986279848451668,0.00538483251503613
7,0.6859504132231405,0.021118929908021403,6.325,0.3576366979896243,0.005340159057137126
8,0.6411042944785276,0.026607666800247138,7.441666666666666,0.31982520634092737,0.004350292819128118
9,0.6882591093117408,0.029532847067962012,8.403361344537815,0.30907414191341115,0.003964810386930254
10,0.7218543046357616,0.03658603262763744,8.970588235294118,0.28415796513003505,0.005450037241528937
11,0.6422764227642277,0.04339651526440302,10.45945945945946,0.2657848224787527,0.006585859939852776
